1511148045399,1,0
1511148045701,2,0
1511148046002,3,0
1511148046303,3,0
1511148046603,1,0
1511148046903,2,0
1511148047203,2,0
1511148047504,1,0
1511148047804,3,0
1511148048104,1,0
1511148048405,2,0
1511148048706,3,0
1511148049007,3,0
1511148049307,2,0
1511148049607,1,0
1511148049909,2,0
1511148050209,3,0
1511148050510,1,0
1511148050810,1,0
1511148051111,2,0
1511148051413,3,0
1511148051713,1,0
1511148052015,2,0
1511148052315,3,0
1511148052615,3,0
1511148052915,2,0
1511148053216,1,0
1511148053516,3,0
1511148053816,2,0
1511148054117,1,0
1511148054417,2,0
